,period_day,weekday_weekend,month,weekday
141,afternoon,weekend,October,Sunday
142,afternoon,weekend,October,Sunday
143,afternoon,weekend,October,Sunday
144,afternoon,weekend,October,Sunday
145,afternoon,weekend,October,Sunday
146,afternoon,weekend,October,Sunday
147,afternoon,weekend,October,Sunday
148,afternoon,weekend,October,Sunday
149,afternoon,weekend,October,Sunday
150,afternoon,weekend,October,Sunday
151,afternoon,weekend,October,Sunday
152,afternoon,weekend,October,Sunday
153,afternoon,weekend,October,Sunday
154,afternoon,weekend,October,Sunday
155,afternoon,weekend,October,Sunday
156,afternoon,weekend,October,Sunday
157,afternoon,weekend,October,Sunday
158,afternoon,weekend,October,Sunday
159,afternoon,weekend,October,Sunday
160,afternoon,weekend,October,Sunday
161,afternoon,weekend,October,Sunday
162,afternoon,weekend,October,Sunday
163,afternoon,weekend,October,Sunday
164,afternoon,weekend,October,Sunday
165,afternoon,weekend,October,Sunday
166,afternoon,weekend,October,Sunday
167,afternoon,weekend,October,Sunday
168,afternoon,weekend,October,Sunday
169,afternoon,weekend,October,Sunday
170,morning,weekday,October,Monday
171,morning,weekday,October,Monday
172,morning,weekday,October,Monday
173,morning,weekday,October,Monday
174,morning,weekday,October,Monday
175,morning,weekday,October,Monday
176,morning,weekday,October,Monday
177,morning,weekday,October,Monday
178,morning,weekday,October,Monday
179,morning,weekday,October,Monday
180,morning,weekday,October,Monday
181,morning,weekday,October,Monday
182,morning,weekday,October,Monday
183,morning,weekday,October,Monday
184,morning,weekday,October,Monday
185,morning,weekday,October,Monday
186,morning,weekday,October,Monday
187,morning,weekday,October,Monday
188,morning,weekday,October,Monday
189,morning,weekday,October,Monday
190,morning,weekday,October,Monday
191,morning,weekday,October,Monday
192,morning,weekday,October,Monday
193,morning,weekday,October,Monday
194,morning,weekday,October,Monday
195,morning,weekday,October,Monday
196,morning,weekday,October,Monday
197,morning,weekday,October,Monday
198,morning,weekday,October,Monday
199,morning,weekday,October,Monday
200,morning,weekday,October,Monday
201,morning,weekday,October,Monday
202,morning,weekday,October,Monday
203,morning,weekday,October,Monday
204,morning,weekday,October,Monday
205,morning,weekday,October,Monday
206,morning,weekday,October,Monday
207,morning,weekday,October,Monday
208,morning,weekday,October,Monday
209,morning,weekday,October,Monday
210,morning,weekday,October,Monday
211,morning,weekday,October,Monday
212,morning,weekday,October,Monday
213,morning,weekday,October,Monday
214,morning,weekday,October,Monday
215,morning,weekday,October,Monday
216,morning,weekday,October,Monday
217,morning,weekday,October,Monday
218,morning,weekday,October,Monday
219,morning,weekday,October,Monday
220,morning,weekday,October,Monday
221,morning,weekday,October,Monday
222,morning,weekday,October,Monday
223,morning,weekday,October,Monday
224,morning,weekday,October,Monday
225,morning,weekday,October,Monday
226,morning,weekday,October,Monday
227,morning,weekday,October,Monday
228,morning,weekday,October,Monday
229,morning,weekday,October,Monday
230,morning,weekday,October,Monday
231,morning,weekday,October,Monday
232,morning,weekday,October,Monday
233,morning,weekday,October,Monday
234,morning,weekday,October,Monday
235,morning,weekday,October,Monday
236,morning,weekday,October,Monday
237,morning,weekday,October,Monday
238,morning,weekday,October,Monday
239,morning,weekday,October,Monday
240,morning,weekday,October,Monday
241,morning,weekday,October,Monday
242,morning,weekday,October,Monday
243,morning,weekday,October,Monday
244,morning,weekday,October,Monday
245,morning,weekday,October,Monday
246,morning,weekday,October,Monday
247,morning,weekday,October,Monday
248,morning,weekday,October,Monday
249,morning,weekday,October,Monday
250,morning,weekday,October,Monday
251,morning,weekday,October,Monday
252,morning,weekday,October,Monday
253,morning,weekday,October,Monday
254,morning,weekday,October,Monday
255,morning,weekday,October,Monday
256,morning,weekday,October,Monday
257,morning,weekday,October,Monday
258,morning,weekday,October,Monday
259,morning,weekday,October,Monday
260,morning,weekday,October,Monday
261,morning,weekday,October,Monday
262,morning,weekday,October,Monday
263,morning,weekday,October,Monday
264,morning,weekday,October,Monday
265,morning,weekday,October,Monday
266,morning,weekday,October,Monday
267,morning,weekday,October,Monday
268,morning,weekday,October,Monday
269,morning,weekday,October,Monday
270,morning,weekday,October,Monday
271,morning,weekday,October,Monday
272,morning,weekday,October,Monday
273,afternoon,weekday,October,Monday
274,afternoon,weekday,October,Monday
275,afternoon,weekday,October,Monday
276,afternoon,weekday,October,Monday
277,afternoon,weekday,October,Monday
278,afternoon,weekday,October,Monday
279,afternoon,weekday,October,Monday
280,afternoon,weekday,October,Monday
281,afternoon,weekday,October,Monday
282,afternoon,weekday,October,Monday
283,afternoon,weekday,October,Monday
284,afternoon,weekday,October,Monday
285,afternoon,weekday,October,Monday
286,afternoon,weekday,October,Monday
287,afternoon,weekday,October,Monday
288,afternoon,weekday,October,Monday
289,afternoon,weekday,October,Monday
290,afternoon,weekday,October,Monday
291,afternoon,weekday,October,Monday
292,afternoon,weekday,October,Monday
293,afternoon,weekday,October,Monday
294,afternoon,weekday,October,Monday
295,afternoon,weekday,October,Monday
296,afternoon,weekday,October,Monday
297,afternoon,weekday,October,Monday
298,afternoon,weekday,October,Monday
299,afternoon,weekday,October,Monday
300,afternoon,weekday,October,Monday
301,afternoon,weekday,October,Monday
302,afternoon,weekday,October,Monday
303,afternoon,weekday,October,Monday
304,afternoon,weekday,October,Monday
305,afternoon,weekday,October,Monday
306,afternoon,weekday,October,Monday
307,afternoon,weekday,October,Monday
308,afternoon,weekday,October,Monday
309,afternoon,weekday,October,Monday
310,afternoon,weekday,October,Monday
311,afternoon,weekday,October,Monday
312,afternoon,weekday,October,Monday
313,afternoon,weekday,October,Monday
314,afternoon,weekday,October,Monday
315,afternoon,weekday,October,Monday
316,afternoon,weekday,October,Monday
317,afternoon,weekday,October,Monday
318,afternoon,weekday,October,Monday
319,afternoon,weekday,October,Monday
320,afternoon,weekday,October,Monday
321,afternoon,weekday,October,Monday
322,afternoon,weekday,October,Monday
323,afternoon,weekday,October,Monday
324,afternoon,weekday,October,Monday
325,afternoon,weekday,October,Monday
326,afternoon,weekday,October,Monday
327,afternoon,weekday,October,Monday
328,afternoon,weekday,October,Monday
329,afternoon,weekday,October,Monday
330,afternoon,weekday,October,Monday
331,afternoon,weekday,October,Monday
332,afternoon,weekday,October,Monday
333,afternoon,weekday,October,Monday
334,afternoon,weekday,October,Monday
335,afternoon,weekday,October,Monday
336,afternoon,weekday,October,Monday
337,afternoon,weekday,October,Monday
338,afternoon,weekday,October,Monday
339,afternoon,weekday,October,Monday
340,afternoon,weekday,October,Monday
341,afternoon,weekday,October,Monday
342,afternoon,weekday,October,Monday
343,afternoon,weekday,October,Monday
344,afternoon,weekday,October,Monday
345,afternoon,weekday,October,Monday
346,afternoon,weekday,October,Monday
347,afternoon,weekday,October,Monday
348,afternoon,weekday,October,Monday
349,afternoon,weekday,October,Monday
350,afternoon,weekday,October,Monday
351,afternoon,weekday,October,Monday
352,afternoon,weekday,October,Monday
353,afternoon,weekday,October,Monday
354,afternoon,weekday,October,Monday
355,afternoon,weekday,October,Monday
356,afternoon,weekday,October,Monday
357,afternoon,weekday,October,Monday
358,afternoon,weekday,October,Monday
359,afternoon,weekday,October,Monday
360,afternoon,weekday,October,Monday
361,evening,weekday,October,Monday
362,evening,weekday,October,Monday
363,evening,weekday,October,Monday
364,evening,weekday,October,Monday
365,evening,weekday,October,Monday
366,evening,weekday,October,Monday
367,evening,weekday,October,Monday
368,evening,weekday,October,Monday
369,morning,weekday,January,Monday
370,morning,weekday,January,Monday
371,morning,weekday,January,Monday
372,morning,weekday,January,Monday
373,morning,weekday,January,Monday
374,morning,weekday,January,Monday
375,morning,weekday,January,Monday
376,morning,weekday,January,Monday
377,morning,weekday,January,Monday
378,morning,weekday,January,Monday
379,morning,weekday,January,Monday
380,morning,weekday,January,Monday
381,morning,weekday,January,Monday
382,morning,weekday,January,Monday
383,morning,weekday,January,Monday
384,morning,weekday,January,Monday
385,morning,weekday,January,Monday
386,morning,weekday,January,Monday
387,morning,weekday,January,Monday
388,morning,weekday,January,Monday
389,morning,weekday,January,Monday
390,morning,weekday,January,Monday
391,morning,weekday,January,Monday
392,morning,weekday,January,Monday
393,morning,weekday,January,Monday
394,morning,weekday,January,Monday
395,morning,weekday,January,Monday
396,morning,weekday,January,Monday
397,morning,weekday,January,Monday
398,morning,weekday,January,Monday
399,morning,weekday,January,Monday
400,morning,weekday,January,Monday
401,morning,weekday,January,Monday
402,morning,weekday,January,Monday
403,morning,weekday,January,Monday
404,morning,weekday,January,Monday
405,morning,weekday,January,Monday
406,morning,weekday,January,Monday
407,morning,weekday,January,Monday
408,morning,weekday,January,Monday
409,morning,weekday,January,Monday
410,morning,weekday,January,Monday
411,morning,weekday,January,Monday
412,morning,weekday,January,Monday
413,morning,weekday,January,Monday
414,morning,weekday,January,Monday
415,morning,weekday,January,Monday
416,morning,weekday,January,Monday
417,morning,weekday,January,Monday
418,morning,weekday,January,Monday
419,morning,weekday,January,Monday
420,morning,weekday,January,Monday
421,morning,weekday,January,Monday
422,morning,weekday,January,Monday
423,morning,weekday,January,Monday
424,morning,weekday,January,Monday
425,afternoon,weekday,January,Monday
426,afternoon,weekday,January,Monday
427,afternoon,weekday,January,Monday
428,afternoon,weekday,January,Monday
429,afternoon,weekday,January,Monday
430,afternoon,weekday,January,Monday
431,afternoon,weekday,January,Monday
432,afternoon,weekday,January,Monday
433,afternoon,weekday,January,Monday
434,afternoon,weekday,January,Monday
435,afternoon,weekday,January,Monday
436,afternoon,weekday,January,Monday
437,afternoon,weekday,January,Monday
438,afternoon,weekday,January,Monday
439,afternoon,weekday,January,Monday
440,afternoon,weekday,January,Monday
441,afternoon,weekday,January,Monday
442,afternoon,weekday,January,Monday
443,afternoon,weekday,January,Monday
444,afternoon,weekday,January,Monday
445,afternoon,weekday,January,Monday
446,afternoon,weekday,January,Monday
447,afternoon,weekday,January,Monday
448,afternoon,weekday,January,Monday
449,afternoon,weekday,January,Monday
450,afternoon,weekday,January,Monday
451,afternoon,weekday,January,Monday
452,afternoon,weekday,January,Monday
453,afternoon,weekday,January,Monday
454,afternoon,weekday,January,Monday
455,afternoon,weekday,January,Monday
456,afternoon,weekday,January,Monday
457,afternoon,weekday,January,Monday
458,afternoon,weekday,January,Monday
459,afternoon,weekday,January,Monday
460,afternoon,weekday,January,Monday
461,afternoon,weekday,January,Monday
462,afternoon,weekday,January,Monday
463,afternoon,weekday,January,Monday
464,afternoon,weekday,January,Monday
465,afternoon,weekday,January,Monday
466,afternoon,weekday,January,Monday
467,afternoon,weekday,January,Monday
468,afternoon,weekday,January,Monday
469,afternoon,weekday,January,Monday
470,afternoon,weekday,January,Monday
471,afternoon,weekday,January,Monday
472,afternoon,weekday,January,Monday
473,afternoon,weekday,January,Monday
474,afternoon,weekday,January,Monday
475,afternoon,weekday,January,Monday
476,afternoon,weekday,January,Monday
477,afternoon,weekday,January,Monday
478,afternoon,weekday,January,Monday
479,afternoon,weekday,January,Monday
480,afternoon,weekday,January,Monday
481,afternoon,weekday,January,Monday
482,afternoon,weekday,January,Monday
483,afternoon,weekday,January,Monday
484,afternoon,weekday,January,Monday
485,afternoon,weekday,January,Monday
486,afternoon,weekday,January,Monday
487,afternoon,weekday,January,Monday
488,afternoon,weekday,January,Monday
489,afternoon,weekday,January,Monday
490,afternoon,weekday,January,Monday
491,afternoon,weekday,January,Monday
492,afternoon,weekday,January,Monday
493,afternoon,weekday,January,Monday
494,afternoon,weekday,January,Monday
495,afternoon,weekday,January,Monday
496,afternoon,weekday,January,Monday
497,afternoon,weekday,January,Monday
498,afternoon,weekday,January,Monday
499,afternoon,weekday,January,Monday
500,afternoon,weekday,January,Monday
501,afternoon,weekday,January,Monday
502,afternoon,weekday,January,Monday
503,afternoon,weekday,January,Monday
504,afternoon,weekday,January,Monday
505,afternoon,weekday,January,Monday
506,afternoon,weekday,January,Monday
507,afternoon,weekday,January,Monday
508,afternoon,weekday,January,Monday
509,afternoon,weekday,January,Monday
510,afternoon,weekday,January,Monday
511,afternoon,weekday,January,Monday
512,afternoon,weekday,January,Monday
513,afternoon,weekday,January,Monday
514,afternoon,weekday,January,Monday
515,afternoon,weekday,January,Monday
516,afternoon,weekday,January,Monday
517,evening,weekday,January,Monday
518,evening,weekday,January,Monday
519,morning,weekday,February,Thursday
520,morning,weekday,February,Thursday
521,morning,weekday,February,Thursday
522,morning,weekday,February,Thursday
523,morning,weekday,February,Thursday
524,morning,weekday,February,Thursday
525,morning,weekday,February,Thursday
526,morning,weekday,February,Thursday
527,morning,weekday,February,Thursday
528,morning,weekday,February,Thursday
529,morning,weekday,February,Thursday
530,morning,weekday,February,Thursday
531,morning,weekday,February,Thursday
532,morning,weekday,February,Thursday
533,morning,weekday,February,Thursday
534,morning,weekday,February,Thursday
535,morning,weekday,February,Thursday
536,morning,weekday,February,Thursday
537,morning,weekday,February,Thursday
538,morning,weekday,February,Thursday
539,morning,weekday,February,Thursday
540,morning,weekday,February,Thursday
541,morning,weekday,February,Thursday
542,morning,weekday,February,Thursday
543,morning,weekday,February,Thursday
544,morning,weekday,February,Thursday
545,morning,weekday,February,Thursday
546,morning,weekday,February,Thursday
547,morning,weekday,February,Thursday
548,morning,weekday,February,Thursday
549,morning,weekday,February,Thursday
550,morning,weekday,February,Thursday
551,morning,weekday,February,Thursday
552,morning,weekday,February,Thursday
553,morning,weekday,February,Thursday
554,morning,weekday,February,Thursday
555,morning,weekday,February,Thursday
556,morning,weekday,February,Thursday
557,morning,weekday,February,Thursday
558,morning,weekday,February,Thursday
559,morning,weekday,February,Thursday
560,morning,weekday,February,Thursday
561,morning,weekday,February,Thursday
562,morning,weekday,February,Thursday
563,morning,weekday,February,Thursday
564,morning,weekday,February,Thursday
565,morning,weekday,February,Thursday
566,morning,weekday,February,Thursday
567,morning,weekday,February,Thursday
568,morning,weekday,February,Thursday
569,morning,weekday,February,Thursday
570,morning,weekday,February,Thursday
571,morning,weekday,February,Thursday
572,morning,weekday,February,Thursday
573,morning,weekday,February,Thursday
574,morning,weekday,February,Thursday
575,morning,weekday,February,Thursday
576,morning,weekday,February,Thursday
577,morning,weekday,February,Thursday
578,morning,weekday,February,Thursday
579,morning,weekday,February,Thursday
580,morning,weekday,February,Thursday
581,morning,weekday,February,Thursday
582,morning,weekday,February,Thursday
583,morning,weekday,February,Thursday
584,morning,weekday,February,Thursday
585,morning,weekday,February,Thursday
586,morning,weekday,February,Thursday
587,morning,weekday,February,Thursday
588,morning,weekday,February,Thursday
589,morning,weekday,February,Thursday
590,morning,weekday,February,Thursday
591,morning,weekday,February,Thursday
592,morning,weekday,February,Thursday
593,morning,weekday,February,Thursday
594,morning,weekday,February,Thursday
595,morning,weekday,February,Thursday
596,morning,weekday,February,Thursday
597,morning,weekday,February,Thursday
598,afternoon,weekday,February,Thursday
599,afternoon,weekday,February,Thursday
600,afternoon,weekday,February,Thursday
601,afternoon,weekday,February,Thursday
602,afternoon,weekday,February,Thursday
603,afternoon,weekday,February,Thursday
604,afternoon,weekday,February,Thursday
605,afternoon,weekday,February,Thursday
606,afternoon,weekday,February,Thursday
607,afternoon,weekday,February,Thursday
608,afternoon,weekday,February,Thursday
609,afternoon,weekday,February,Thursday
610,afternoon,weekday,February,Thursday
611,afternoon,weekday,February,Thursday
612,afternoon,weekday,February,Thursday
613,afternoon,weekday,February,Thursday
614,afternoon,weekday,February,Thursday
615,afternoon,weekday,February,Thursday
616,afternoon,weekday,February,Thursday
617,afternoon,weekday,February,Thursday
618,afternoon,weekday,February,Thursday
619,afternoon,weekday,February,Thursday
620,afternoon,weekday,February,Thursday
621,afternoon,weekday,February,Thursday
622,afternoon,weekday,February,Thursday
623,afternoon,weekday,February,Thursday
624,afternoon,weekday,February,Thursday
625,afternoon,weekday,February,Thursday
626,afternoon,weekday,February,Thursday
627,afternoon,weekday,February,Thursday
628,afternoon,weekday,February,Thursday
629,afternoon,weekday,February,Thursday
630,afternoon,weekday,February,Thursday
631,afternoon,weekday,February,Thursday
632,afternoon,weekday,February,Thursday
633,afternoon,weekday,February,Thursday
634,afternoon,weekday,February,Thursday
635,afternoon,weekday,February,Thursday
636,afternoon,weekday,February,Thursday
637,afternoon,weekday,February,Thursday
638,afternoon,weekday,February,Thursday
639,afternoon,weekday,February,Thursday
640,afternoon,weekday,February,Thursday
641,afternoon,weekday,February,Thursday
642,afternoon,weekday,February,Thursday
643,afternoon,weekday,February,Thursday
644,afternoon,weekday,February,Thursday
645,afternoon,weekday,February,Thursday
646,afternoon,weekday,February,Thursday
647,afternoon,weekday,February,Thursday
648,afternoon,weekday,February,Thursday
649,afternoon,weekday,February,Thursday
650,afternoon,weekday,February,Thursday
651,afternoon,weekday,February,Thursday
652,afternoon,weekday,February,Thursday
653,afternoon,weekday,February,Thursday
654,afternoon,weekday,February,Thursday
655,afternoon,weekday,February,Thursday
656,afternoon,weekday,February,Thursday
657,afternoon,weekday,February,Thursday
658,afternoon,weekday,February,Thursday
659,afternoon,weekday,February,Thursday
660,afternoon,weekday,February,Thursday
661,afternoon,weekday,February,Thursday
662,afternoon,weekday,February,Thursday
663,afternoon,weekday,February,Thursday
664,afternoon,weekday,February,Thursday
665,afternoon,weekday,February,Thursday
666,afternoon,weekday,February,Thursday
667,afternoon,weekday,February,Thursday
668,afternoon,weekday,February,Thursday
669,afternoon,weekday,February,Thursday
670,afternoon,weekday,February,Thursday
671,afternoon,weekday,February,Thursday
672,evening,weekday,February,Thursday
673,evening,weekday,February,Thursday
674,evening,weekday,February,Thursday
675,evening,weekday,February,Thursday
676,evening,weekday,February,Thursday
677,evening,weekday,February,Thursday
678,evening,weekday,February,Thursday
679,evening,weekday,February,Thursday
680,evening,weekday,February,Thursday
681,evening,weekday,February,Thursday
682,evening,weekday,February,Thursday
683,morning,weekday,March,Friday
684,morning,weekday,March,Friday
685,morning,weekday,March,Friday
686,morning,weekday,March,Friday
687,morning,weekday,March,Friday
688,morning,weekday,March,Friday
689,morning,weekday,March,Friday
690,morning,weekday,March,Friday
691,morning,weekday,March,Friday
692,morning,weekday,March,Friday
693,morning,weekday,March,Friday
694,morning,weekday,March,Friday
695,morning,weekday,March,Friday
696,morning,weekday,March,Friday
697,morning,weekday,March,Friday
698,morning,weekday,March,Friday
699,morning,weekday,March,Friday
700,morning,weekday,March,Friday
701,morning,weekday,March,Friday
702,morning,weekday,March,Friday
703,morning,weekday,March,Friday
704,morning,weekday,March,Friday
705,morning,weekday,March,Friday
706,morning,weekday,March,Friday
707,morning,weekday,March,Friday
708,morning,weekday,March,Friday
709,morning,weekday,March,Friday
710,morning,weekday,March,Friday
711,morning,weekday,March,Friday
712,morning,weekday,March,Friday
713,morning,weekday,March,Friday
714,morning,weekday,March,Friday
715,morning,weekday,March,Friday
716,morning,weekday,March,Friday
717,morning,weekday,March,Friday
718,morning,weekday,March,Friday
719,morning,weekday,March,Friday
720,morning,weekday,March,Friday
721,morning,weekday,March,Friday
722,morning,weekday,March,Friday
723,morning,weekday,March,Friday
724,morning,weekday,March,Friday
725,morning,weekday,March,Friday
726,morning,weekday,March,Friday
727,morning,weekday,March,Friday
728,morning,weekday,March,Friday
729,morning,weekday,March,Friday
730,morning,weekday,March,Friday
731,morning,weekday,March,Friday
732,morning,weekday,March,Friday
733,morning,weekday,March,Friday
734,morning,weekday,March,Friday
735,morning,weekday,March,Friday
736,morning,weekday,March,Friday
737,morning,weekday,March,Friday
738,morning,weekday,March,Friday
739,morning,weekday,March,Friday
740,morning,weekday,March,Friday
741,morning,weekday,March,Friday
742,morning,weekday,March,Friday
743,morning,weekday,March,Friday
744,morning,weekday,March,Friday
745,morning,weekday,March,Friday
746,morning,weekday,March,Friday
747,morning,weekday,March,Friday
748,morning,weekday,March,Friday
749,morning,weekday,March,Friday
750,morning,weekday,March,Friday
751,morning,weekday,March,Friday
752,morning,weekday,March,Friday
753,morning,weekday,March,Friday
754,morning,weekday,March,Friday
755,morning,weekday,March,Friday
756,morning,weekday,March,Friday
757,morning,weekday,March,Friday
758,morning,weekday,March,Friday
759,morning,weekday,March,Friday
760,morning,weekday,March,Friday
761,morning,weekday,March,Friday
762,morning,weekday,March,Friday
763,morning,weekday,March,Friday
764,morning,weekday,March,Friday
765,afternoon,weekday,March,Friday
766,afternoon,weekday,March,Friday
767,afternoon,weekday,March,Friday
768,afternoon,weekday,March,Friday
769,afternoon,weekday,March,Friday
770,afternoon,weekday,March,Friday
771,afternoon,weekday,March,Friday
772,afternoon,weekday,March,Friday
773,afternoon,weekday,March,Friday
774,afternoon,weekday,March,Friday
775,afternoon,weekday,March,Friday
776,afternoon,weekday,March,Friday
777,afternoon,weekday,March,Friday
778,afternoon,weekday,March,Friday
779,afternoon,weekday,March,Friday
780,afternoon,weekday,March,Friday
781,afternoon,weekday,March,Friday
782,afternoon,weekday,March,Friday
783,afternoon,weekday,March,Friday
784,afternoon,weekday,March,Friday
785,afternoon,weekday,March,Friday
786,afternoon,weekday,March,Friday
787,afternoon,weekday,March,Friday
788,afternoon,weekday,March,Friday
789,afternoon,weekday,March,Friday
790,afternoon,weekday,March,Friday
791,afternoon,weekday,March,Friday
792,afternoon,weekday,March,Friday
793,afternoon,weekday,March,Friday
794,afternoon,weekday,March,Friday
795,afternoon,weekday,March,Friday
796,afternoon,weekday,March,Friday
797,afternoon,weekday,March,Friday
798,afternoon,weekday,March,Friday
799,afternoon,weekday,March,Friday
800,afternoon,weekday,March,Friday
801,afternoon,weekday,March,Friday
802,afternoon,weekday,March,Friday
803,afternoon,weekday,March,Friday
804,afternoon,weekday,March,Friday
805,afternoon,weekday,March,Friday
806,afternoon,weekday,March,Friday
807,afternoon,weekday,March,Friday
808,afternoon,weekday,March,Friday
809,afternoon,weekday,March,Friday
810,afternoon,weekday,March,Friday
811,afternoon,weekday,March,Friday
812,afternoon,weekday,March,Friday
813,afternoon,weekday,March,Friday
814,afternoon,weekday,March,Friday
815,afternoon,weekday,March,Friday
816,afternoon,weekday,March,Friday
817,afternoon,weekday,March,Friday
818,afternoon,weekday,March,Friday
819,afternoon,weekday,March,Friday
820,afternoon,weekday,March,Friday
821,afternoon,weekday,March,Friday
822,afternoon,weekday,March,Friday
823,afternoon,weekday,March,Friday
824,afternoon,weekday,March,Friday
825,afternoon,weekday,March,Friday
826,afternoon,weekday,March,Friday
827,afternoon,weekday,March,Friday
828,afternoon,weekday,March,Friday
829,afternoon,weekday,March,Friday
830,afternoon,weekday,March,Friday
831,afternoon,weekday,March,Friday
832,afternoon,weekday,March,Friday
833,afternoon,weekday,March,Friday
834,afternoon,weekday,March,Friday
835,afternoon,weekday,March,Friday
836,afternoon,weekday,March,Friday
837,afternoon,weekday,March,Friday
838,afternoon,weekday,March,Friday
839,afternoon,weekday,March,Friday
840,afternoon,weekday,March,Friday
841,afternoon,weekday,March,Friday
842,afternoon,weekday,March,Friday
843,afternoon,weekday,March,Friday
844,afternoon,weekday,March,Friday
845,afternoon,weekday,March,Friday
846,afternoon,weekday,March,Friday
847,afternoon,weekday,March,Friday
848,afternoon,weekday,March,Friday
849,afternoon,weekday,March,Friday
850,afternoon,weekday,March,Friday
